timestamp,ablation_preset,model,note,use_cbam,use_data_augmentation,mixup_alpha,cutmix_alpha,mixup_cutmix_prob,final_eval_loss,final_eval_acc
2026-05-29 16:52:06,baseline,ResNet50 baseline,普通迁移学习,False,False,0.0,0.0,0.0,0.540512181520462,0.84
2026-05-29 16:53:01,aug,ResNet50 + 数据增强,提升泛化,False,True,0.0,0.0,0.0,0.5126903760433197,0.84
2026-05-29 16:58:57,cbam,ResNet50 + CBAM,引入注意力机制,True,True,0.0,0.0,0.0,1.5305417728424071,0.64
2026-05-29 17:04:37,cbam_mix,ResNet50 + CBAM + MixUp/CutMix,最终模型,True,True,0.2,1.0,0.6,1.534768714904785,0.76
